Order_ID,Order_Date,Month,Quarter,Day_of_Week,Time_Slot,Restaurant_Name,Cuisine_Type,Restaurant_Area,Delivery_Area,Quantity,Unit_Price_INR,Gross_Amount_INR,Discount_Percent,Discount_Amount_INR,Delivery_Fee_INR,Net_Amount_INR,Payment_Mode,Order_Status,Delivery_Time_Min,Customer_Rating
SWG10000,2024-11-23,November,Q4,Saturday,Breakfast (7-11am),Shah Ghouse,Biryani,Tolichowki,Madhapur,3,330,990,0,0,0,990,Swiggy Wallet,Delivered,54,4.5
SWG10001,2024-01-17,January,Q1,Wednesday,Late Night (11pm-2am),Biryani Blues,Biryani,Madhapur,Hitech City,2,318,636,20,127,50,559,Cash on Delivery,Delivered,32,3.1
SWG10002,2024-08-17,August,Q3,Saturday,Lunch (11am-3pm),Chai Point,Beverages,Kukatpally,Banjara Hills,1,243,243,30,73,40,210,Debit Card,Delivered,29,3.7
SWG10003,2024-02-17,February,Q1,Saturday,Late Night (11pm-2am),Behrouz Biryani,Biryani,Hitech City,Hitech City,3,432,1296,20,259,30,1067,UPI,Delivered,49,4.6
SWG10004,2024-02-10,February,Q1,Saturday,Lunch (11am-3pm),The Bowl Company,Healthy,Gachibowli,Banjara Hills,5,450,2250,20,450,0,1800,Debit Card,Delivered,22,4.4
SWG10005,2024-04-29,April,Q2,Monday,Lunch (11am-3pm),Shah Ghouse,Biryani,Tolichowki,Ameerpet,3,544,1632,30,490,30,1172,Debit Card,Returned,,
SWG10006,2024-12-15,December,Q4,Sunday,Snacks (3-6pm),Bawarchi,Biryani,RTC X Roads,Tolichowki,2,626,1252,30,376,0,876,Swiggy Wallet,Delivered,44,3.3
SWG10007,2024-12-16,December,Q4,Monday,Snacks (3-6pm),Burger King,Fast Food,Gachibowli,Dilsukhnagar,1,314,314,50,157,0,157,UPI,Delivered,45,4.6
SWG10008,2024-10-17,October,Q4,Thursday,Lunch (11am-3pm),Burger King,Fast Food,Gachibowli,Kukatpally,4,485,1940,30,582,40,1398,Swiggy Wallet,Cancelled,,
SWG10009,2024-05-14,May,Q2,Tuesday,Late Night (11pm-2am),Chai Point,Beverages,Kukatpally,Ameerpet,5,488,2440,0,0,0,2440,Cash on Delivery,Delivered,28,5
SWG10010,2024-01-25,January,Q1,Thursday,Late Night (11pm-2am),Shah Ghouse,Biryani,Tolichowki,Gachibowli,2,776,1552,10,155,50,1447,Cash on Delivery,Cancelled,,
SWG10011,2024-05-08,May,Q2,Wednesday,Snacks (3-6pm),The Bowl Company,Healthy,Gachibowli,Dilsukhnagar,1,776,776,30,233,0,543,Debit Card,Delivered,54,4.4
SWG10012,2024-05-30,May,Q2,Thursday,Late Night (11pm-2am),Fassos,Fast Food,Madhapur,Gachibowli,4,83,332,30,100,30,262,UPI,Returned,,
SWG10013,2024-06-01,June,Q2,Saturday,Breakfast (7-11am),Chili's,Continental,Jubilee Hills,Tolichowki,2,236,472,0,0,0,472,Swiggy Wallet,Delivered,53,4.1
SWG10014,2024-09-07,September,Q3,Saturday,Breakfast (7-11am),Biryani Blues,Biryani,Madhapur,Hitech City,3,394,1182,0,0,0,1182,UPI,Returned,,
SWG10015,2024-09-05,September,Q3,Thursday,Snacks (3-6pm),Bawarchi,Biryani,RTC X Roads,LB Nagar,5,208,1040,0,0,40,1080,Swiggy Wallet,Cancelled,,
SWG10016,2024-08-04,August,Q3,Sunday,Dinner (6-11pm),Pizza Hut,Pizza,Jubilee Hills,Begumpet,5,786,3930,0,0,30,3960,Swiggy Wallet,Delivered,43,3.8
SWG10017,2024-03-02,March,Q1,Saturday,Lunch (11am-3pm),La Pino'z,Pizza,Kukatpally,Kukatpally,1,426,426,0,0,50,476,UPI,Delivered,57,4.1
SWG10018,2024-12-28,December,Q4,Saturday,Snacks (3-6pm),Paradise Biryani,Biryani,Secunderabad,Kukatpally,1,112,112,50,56,30,86,Cash on Delivery,Delivered,35,3.1
SWG10019,2024-10-03,October,Q4,Thursday,Lunch (11am-3pm),Pista House,Biryani,Charminar,KPHB,5,670,3350,10,335,0,3015,UPI,Delivered,46,4.6
SWG10020,2024-12-03,December,Q4,Tuesday,Breakfast (7-11am),Fassos,Fast Food,Madhapur,Jubilee Hills,4,500,2000,10,200,0,1800,Cash on Delivery,Returned,,
SWG10021,2024-06-22,June,Q2,Saturday,Snacks (3-6pm),Shah Ghouse,Biryani,Tolichowki,Kukatpally,2,274,548,20,110,40,478,Cash on Delivery,Delivered,31,3.3
SWG10022,2024-02-08,February,Q1,Thursday,Lunch (11am-3pm),Box8,North Indian,Banjara Hills,LB Nagar,5,180,900,0,0,50,950,Credit Card,Delivered,25,4.7
SWG10023,2024-09-05,September,Q3,Thursday,Snacks (3-6pm),Wow Momo,Chinese,Ameerpet,Kukatpally,4,140,560,0,0,40,600,Cash on Delivery,Delivered,44,3
SWG10024,2024-08-04,August,Q3,Sunday,Late Night (11pm-2am),The Bowl Company,Healthy,Gachibowli,Charminar,4,238,952,0,0,30,982,Swiggy Wallet,Delivered,23,3.4
